[*:1]c1ccc(F)c(C(=N)N)c1,[*:1]/C(C)=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl,[*:1]c1ccc2ccnc(N)c2c1
[*:1]c1ccc2ncccc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(C#N)cc1
[*:1]c1ccc2ncccc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2c(c1)COC2=O
[*:1]c1ccc2oc3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2ncccc2c1
[*:1]c1ccc2ncccc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]c3ccccc3c2c1
[*:1]c1ccc2[nH]ccc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc(C(F)(F)F)c1
[*:1]c1ccc2[nH]ccc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(F)cc1
[*:1]c1ccc2occc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]ccc2c1
[*:1]c1ccccc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]ccc2c1
[*:1]c1cccc2ccccc12,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]ccc2c1
[*:1]c1ccc(C#N)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]ccc2c1
[*:1]c1ccc2[nH]ccc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2c(c1)COC2=O
[*:1]c1ccc2[nH]ccc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2oc3ccccc3c2c1
[*:1]c1ccc2[nH]c3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]ccc2c1
[*:1]c1cccc(C(F)(F)F)c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(F)cc1
[*:1]c1cccc(C(F)(F)F)c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2occc2c1
[*:1]C(F)(F)F,[*:1]c1cccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)c1,[*:1][H]
[*:1]c1cccc2ccccc12,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc(C(F)(F)F)c1
[*:1]c1ccc(C#N)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc(C(F)(F)F)c1
[*:1]c1ccc2c(c1)COC2=O,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc(C(F)(F)F)c1
[*:1]c1ccc2oc3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc(C(F)(F)F)c1
[*:1]c1ccc2[nH]c3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc(C(F)(F)F)c1
[*:1]c1ccc2occc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(F)cc1
[*:1]F,[*:1]c1ccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)cc1,[*:1][H]
[*:1]c1cccc2ccccc12,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(F)cc1
[*:1]F,[*:1]c1ccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)cc1,[*:1]C#N
[*:1]c1ccc(F)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2c(c1)COC2=O
[*:1]c1ccc2oc3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(F)cc1
[*:1]c1ccc2[nH]c3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(F)cc1
[*:1]c1ccc2occc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccccc1
[*:1]c1ccc2occc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc2ccccc12
[*:1]c1ccc(C#N)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2occc2c1
[*:1]c1ccc2c(c1)COC2=O,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2occc2c1
[*:1]c1ccc2oc3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2occc2c1
[*:1]c1ccc2occc2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]c3ccccc3c2c1
[*:1]c1ccccc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc2ccccc12
[*:1]C#N,[*:1]c1ccc(/C=C/CO/N=C2\C[C@]34CC[C@H]5[C@@](C)(CCC[C@@]5(C)C(=O)OCC)[C@@H]3CC[C@@]2(C)C4)cc1,[*:1][H]
[*:1]c1ccc2c(c1)COC2=O,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccccc1
[*:1]c1ccccc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2oc3ccccc3c2c1
[*:1]c1ccc2[nH]c3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccccc1
[*:1]c1ccc(C#N)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc2ccccc12
[*:1]c1ccc2c(c1)COC2=O,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc2ccccc12
[*:1]c1cccc2ccccc12,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2oc3ccccc3c2c1
[*:1]c1ccc2[nH]c3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1cccc2ccccc12
[*:1]c1ccc2c(c1)COC2=O,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(C#N)cc1
[*:1]c1ccc2oc3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc(C#N)cc1
[*:1]c1ccc(C#N)cc1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]c3ccccc3c2c1
[*:1]c1ccc2oc3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2c(c1)COC2=O
[*:1]c1ccc2[nH]c3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2c(c1)COC2=O
[*:1]c1ccc2oc3ccccc3c2c1,[*:1]/C=C/CO/N=C1\C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,[*:1]c1ccc2[nH]c3ccccc3c2c1
[*:1]c1ccc2cc([*:2])sc2c1,[*:2]/C=C/S(=O)(=O)NC1CCN(c2ccc(-c3ccccc3S(C)(=O)=O)cc2F)C1=O.[*:1]Cl,[*:1]c1ccc([*:2])s1
[*:1]c1ccc([*:2])s1,[*:1]/C=C/S(=O)(=O)N[C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O.[*:2]Cl,[*:1]c1ccc([*:2])cc1
[*:1]c1ccc(C(=N)N)cc1,[*:1]/C=C1/CCCC/C(=C\c2ccc(C(=N)N)cc2)C1=O,[*:1]c1ccc(C(N)=O)cc1
[*:1]n1nnnc1N,[*:1]CCC[C@H](NC(=O)C1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(C)=O)B1O[C@@H]2CC3CC(C3(C)C)[C@]2(C)O1,[*:1]n1ccnc1
[*:1]c1c([*:2])n([*:3])c2ccccc12,[*:1]Br.[*:2]C(=O)NC1CCN(C(C)C)CC1.[*:3]Cc1cc(-c2ccc(Cl)s2)on1,[*:1]c1ccc2c(c1)cc([*:2])n2[*:3]
[*:1]OC,[*:1]c1cc(C(=O)NCC2CCN(c3ccncc3)CC2)cc(OCCc2ccc(Cl)cc2Cl)c1Br,[*:1][H]
[*:1]OC,[*:1]c1cc(C(=O)NCC2CCN(c3ccncc3)CC2)cc(OCCc2ccc(Cl)cc2Cl)c1Br,[*:1]OCC
[*:1][H],[*:1]c1cc(C(=O)NCC2CCN(c3ccncc3)CC2)cc(OCCc2ccc(Cl)cc2Cl)c1Br,[*:1]OCC
[*:1][H],[*:1]c1cc(C(=O)NCC2CCN(c3ccncc3)CC2)cc(OCCc2ccc(Cl)cc2Cl)c1Br,[*:1]OC(C)=O
[*:1]OC(C)=O,[*:1]c1cc(C(=O)NCC2CCN(c3ccncc3)CC2)cc(OCCc2ccc(Cl)cc2Cl)c1Br,[*:1]OCC
[*:1]c1cc([*:2])c(OC)c([*:3])c1,[*:3]Br.[*:1]C(=O)NCC1CCN(c2ccncc2)CC1.[*:2]OCCc1ccc(Cl)cc1Cl,[*:1]c1cc([*:2])c([*:3])c(OC(C)=O)c1
[*:1]C,[*:1]c1cccc2c1c(Br)c(C(=O)NCc1cccc(C(=N)N)c1)n2Cc1cccc(C(=N)N)c1,[*:1][H]
[*:1][H],[*:1]c1c(Br)cc(CCC(=O)O)cc1-c1[nH]c2ccc(C(=N)N)cc2c1Cc1ccccc1,[*:1]O
[*:1]c1ccc([*:2])cc1,[*:1]Br.[*:2]COc1cccc(NC(=O)C2CCN(c3ccncc3)CC2)c1,[*:1]c1cccc([*:2])c1
[*:1]CC(N)=O,[*:1]c1cc(Br)c(O)c(-c2[nH]c3ccc(C(=N)N)cc3c2Cc2ccccc2)c1,[*:1]CC(=O)O
[*:1]C(=O)O,[*:1]c1cc(Br)c(O)c(-c2[nH]c3ccc(C(=N)N)cc3c2Cc2ccccc2)c1,[*:1]CC(N)=O
[*:1]CC(N)=O,[*:1]c1cc(Br)c(O)c(-c2[nH]c3ccc(C(=N)N)cc3c2Cc2ccccc2)c1,[*:1]C
[*:1]C(=O)O,[*:1]c1cc(Br)c(O)c(-c2[nH]c3ccc(C(=N)N)cc3c2Cc2ccccc2)c1,[*:1]CC(=O)O
[*:1]C,[*:1]c1cc(Br)c(O)c(-c2[nH]c3ccc(C(=N)N)cc3c2Cc2ccccc2)c1,[*:1]CC(=O)O
[*:1]C,[*:1]c1cc(Br)c(O)c(-c2[nH]c3ccc(C(=N)N)cc3c2Cc2ccccc2)c1,[*:1]C(=O)O
[*:1]c1nnn[nH]1,[*:1]c1cc(Br)c(O)c(-c2[nH]c3ccc(C(=N)N)cc3c2Cc2ccccc2)c1,[*:1]Cc1nnn[nH]1
[*:1]c1ccc2c(c1)cc([*:2])n2[*:3],[*:1]C#N.[*:2]C(=O)NC1CCN(C(C)C)CC1.[*:3]Cc1cc(-c2ccc(Cl)s2)on1,[*:1]c1c([*:2])n([*:3])c2ccccc12
[*:1]C,[*:1]c1cccc2c(C#N)c(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc(-c4ccc(Cl)s4)on3)c12,[*:1][H]
[*:1][H],[*:1]c1nc2c(C#N)nn(-c3ccc(OC)cc3)c2c(=O)n1-c1ccc(-c2ccccc2CN(C)C)cc1,[*:1]C
[*:2]c1nn([*:3])c2c(=O)n([*:1])c(=O)[nH]c12,[*:2]C#N.[*:1]c1ccc(-c2ccccc2S(C)(=O)=O)cc1F.[*:3]c1ccc(OC)cc1,[*:1]NC(=O)c1c(N)c([*:2])nn1[*:3]
[*:1]OC(F)F,[*:1]c1ccc(-n2nc(C(F)(F)F)c3c2C(=O)N(C2CCN(N4CCOCC4=O)CC2)CC3)cc1C#N,[*:1]F
[*:1]c1ccccc1[*:2],[*:1]C(=N)N(C)C.[*:2]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]c1cccc([*:2])c1
[*:1]F,[*:1]c1cc(C(=N)N(C)C)ccc1C(=O)Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1,[*:1][H]
[*:1]C(=N)N(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]c1ccccc1C(=N)N(C)C
[*:2]c1ccc(-c2ccccc2[*:1])cc1,[*:1]C(=N)N(C)C.[*:2]C(=O)Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1,[*:1]c1ccc([*:2])c(F)c1
[*:1][H],[*:1]c1cc(C(=N)N(C)C)ccc1C(=O)Nc1ccc(OC)cc1C(=O)Nc1ccc(Cl)cn1,[*:1]F
[*:3]c1noc([*:1])c1[*:2],[*:2]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:1]C(F)(F)F.[*:3]c1cccc(C(=N)N)c1,[*:1]c1cc([*:2])n([*:3])n1
[*:1]C1=NOC([*:2])([*:3])C1,[*:3]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:2]C(F)(F)F.[*:1]c1cccc(C(=N)N)c1,[*:2]c1cc([*:3])n([*:1])n1
[*:1]C1=NOC([*:2])([*:3])C1,[*:3]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:2]C(F)(F)F.[*:1]c1cccc(C(=N)N)c1,[*:1]c1noc([*:2])c1[*:3]
[*:1]C1=NO[C@H]([*:2])[C@H]1[*:3],[*:3]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:2]COC.[*:1]c1cccc(C(=N)N)c1,[*:1]C1=NO[C@@H]([*:2])[C@@H]1[*:3]
[*:1]c1noc([*:2])c1[*:3],[*:3]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:2]COC.[*:1]c1cccc(C(=N)N)c1,[*:1]C1=NO[C@@H]([*:2])[C@@H]1[*:3]
[*:1]C1=NO[C@@H]([*:2])[C@@H]1[*:3],[*:3]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:2]COC.[*:1]c1cccc(C(=N)N)c1,[*:1]C1=NOC([*:2])([*:3])C1
[*:1]c1noc([*:2])c1[*:3],[*:3]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:2]COC.[*:1]c1cccc(C(=N)N)c1,[*:1]C1=NO[C@H]([*:2])[C@H]1[*:3]
[*:1]C1=NO[C@H]([*:2])[C@H]1[*:3],[*:3]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:2]COC.[*:1]c1cccc(C(=N)N)c1,[*:1]C1=NOC([*:2])([*:3])C1
[*:1]C1=NOC([*:2])([*:3])C1,[*:3]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:2]COC.[*:1]c1cccc(C(=N)N)c1,[*:1]c1noc([*:2])c1[*:3]
[*:1]C1=NOC([*:2])([*:3])C1,[*:3]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:2]Cn1cnnn1.[*:1]c1cccc(C(=N)N)c1,[*:1]C1=NO[C@H]([*:2])[C@H]1[*:3]
[*:1]c1noc([*:2])c1[*:3],[*:3]C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cn1.[*:2]COC.[*:1]c1cccc(C(=N)N)c1,[*:1]C1=NOC([*:2])([*:3])C1
[*:1]C1CCN([*:2])CC1,[*:2]C(=N)N.[*:1]C(=O)Nc1cccc(OCc2ccc(-c3ccccc3)cc2)c1,[*:1]C1CCCN([*:2])C1
[*:1]C1CCCN([*:2])C1,[*:2]C(=N)N.[*:1]C(=O)Nc1cccc(OCc2ccc(F)cc2)c1,[*:1]C1CCN([*:2])CC1
[*:1][C@@H]1CN([*:2])C[C@@H]1[*:3],[*:3]C(=O)O.[*:2]Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:1]c1cccc(C(=N)N)c1,[*:1][C@@H]1CN([*:2])C[C@H]1[*:3]
[*:1][C@@H]1ON([*:2])C[C@H]1[*:3],[*:3]C(=O)OC(C)C.[*:2]Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:1]c1cccc(C(=N)N)c1,[*:1][C@@H]1CN([*:2])C[C@H]1[*:3]
[*:1][C@@H]1CN([*:2])C[C@H]1[*:3],[*:3]C(=O)OC.[*:2]Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:1]c1cccc(C(=N)N)c1,[*:1][C@@H]1ON([*:2])C[C@H]1[*:3]
[*:1][C@@H]1ON([*:2])C[C@H]1[*:3],[*:3]C(=O)OC.[*:2]Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:1]c1cccc(C(=N)N)c1,[*:1][C@H]1CN([*:2])C[C@@H]1[*:3]
[*:1][C@H]1CN([*:2])C[C@@H]1[*:3],[*:1]C(=O)OC.[*:2]Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1.[*:3]c1cccc(C(=N)N)c1,[*:1][C@@H]1CN([*:2])C[C@H]1[*:3]
[*:1]c1ccc2scc([*:2])c2c1,[*:1]C(=N)N.[*:2]C(CC(=O)Nc1ccc(-n2cnc3ccccc32)cc1)Cc1ccccc1,[*:1]c1ccc2[nH]cc([*:2])c2c1
[*:1]c1cccc([*:2])c1,[*:1]C(=N)N.[*:2]C(CCc1ccc(C(=N)N)cc1)CC(=O)OCC,[*:1]c1ccc([*:2])cc1
[*:1]c1ccc2[nH]cc([*:2])c2c1,[*:1]C(=N)N.[*:2]C(Cc1ccccc1)C(=O)N[C@H]1CCCC[C@H]1C(=O)OC,[*:1]c1ccc2scc([*:2])c2c1
[*:1]c1ccc2scc([*:2])c2c1,[*:1]C(=N)N.[*:2]C(Cc1ccccc1)C(=O)N[C@H]1CCCC[C@H]1C(=O)OCC,[*:1]c1ccc2occ([*:2])c2c1
[*:1]c1ccc2cccc([*:2])c2c1,[*:1]C(=N)N.[*:2]C(Cc1ccccc1)C(=O)N[C@H]1CCCC[C@H]1C(=O)OCC,[*:1]c1ccc2scc([*:2])c2c1
[*:1]c1ccc2cccc([*:2])c2c1,[*:1]C(=N)N.[*:2]C(Cc1ccccc1)C(=O)N[C@H]1CCCC[C@H]1C(=O)OCC,[*:1]c1ccc2occ([*:2])c2c1
[*:1]c1ccc2ccn([*:2])c2c1,[*:1]C(=N)N.[*:2]C(Cc1ccccc1)C(=O)Nc1ccc(-n2cnc3ccccc32)cc1F,[*:1]c1ccc2[nH]cc([*:2])c2c1
[*:1]c1cccc([*:2])c1,[*:1]C(=N)N.[*:2]NC(=O)C1(CC(=O)OC)CC(c2cccc(C(=N)N)c2)=NO1,[*:1]c1ccc([*:2])cc1
[*:1]c1cccc([*:2])c1,[*:1]C(=N)N.[*:2]C1=NOC(CC(=O)Nc2ccc(C(=N)N)cc2)C1,[*:1]c1ccc([*:2])cc1
[*:1]c1cccc([*:2])c1,[*:1]C(=N)N.[*:2]C1=NOC(CC(=O)Nc2cccc(C(=N)N)c2)C1,[*:1]c1ccc([*:2])cc1
[*:1]c1cccc([*:2])c1,[*:1]C(=N)N.[*:2]C1=NOC(CC(=O)OC)(C(=O)Nc2cccc(C(=N)N)c2)C1,[*:1]c1ccc([*:2])cc1
[*:1]c1ccc2[nH]cc([*:2])c2c1,[*:1]C(=N)N.[*:2]CC(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,[*:1]c1ccc2c(c1)C([*:2])CN2
[*:1]c1ccc2c(c1)C([*:2])CN2,[*:1]C(=N)N.[*:2]CC(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,[*:1]c1ccc2ncn([*:2])c2c1
[*:1]c1ccc2c(c1)C([*:2])CN2,[*:1]C(=N)N.[*:2]CC(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,[*:1]c1ccc2c(c1)ncn2[*:2]
[*:1]c1ccc2[nH]cc([*:2])c2c1,[*:1]C(=N)N.[*:2]CC(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,[*:1]c1ccc2ncn([*:2])c2c1
[*:1]c1ccc2c(c1)ncn2[*:2],[*:1]C(=N)N.[*:2]CC(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,[*:1]c1ccc2[nH]cc([*:2])c2c1
[*:1]c1ccc2c(c1)ncn2[*:2],[*:1]C(=N)N.[*:2]CC(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,[*:1]c1ccc2ncn([*:2])c2c1
[*:1]c1ccc2cnn([*:2])c2c1,[*:1]C(=N)N.[*:2]CC(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cn1,[*:1]c1ccc2[nH]cc([*:2])c2c1
[*:1][H],[*:1]n1cc(CC(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)c2cc(C(=N)N)ccc21,[*:1]C
[*:1]c1ccc2ncn([*:2])c2c1,[*:1]C(=N)N.[*:2]CC(CCc1ccc(C(=N)N)cc1)C(=O)OCC,[*:1]c1ccc2c(c1)ncn2[*:2]
[*:1]c1ccc2ncn([*:2])c2c1,[*:1]C(=N)N.[*:2]CC(CCc1cccc(C(=N)N)c1)C(=O)OCC,[*:1]c1ccc2c(c1)ncn2[*:2]
[*:1]c1cccc([*:2])c1,[*:1]C(=N)N.[*:2]CC(NC(=O)CNS(=O)(=O)c1ccc(C#N)cc1)C(=O)OCC,[*:1]c1ccc([*:2])cc1
[*:1]c1ccc([*:2])cc1,[*:1]C(=N)N.[*:2]CC(NC(=O)CNS(=O)(=O)c1ccc(C(=N)N)cc1)C(=O)O,[*:1]c1cccc([*:2])c1
[*:1]c1ccc([*:2])cc1,[*:1]C(=N)N.[*:2]CN1CC(C)CN(C2CCN(Cc3ccccc3)CC2)C1=O,[*:1]c1cccc([*:2])c1
[*:1][H],[*:1]c1ccc(C(=N)N)cc1CN1CCC(NS(=O)(=O)c2ccc3ccc(OC)cc3c2)C1=O,[*:1]N
[*:1]N,[*:1]c1ccc(C(=N)N)cc1CN1CCC(NS(=O)(=O)c2ccc3ccc(OC)cc3c2)C1=O,[*:1]OCC(=O)O
[*:1]c1ccc([*:2])cc1,[*:1]C(=N)N.[*:2]CN1CCN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CC1=O,[*:1]c1cccc([*:2])c1
[*:2]c1csc([*:1])c1,[*:1]C(=N)N.[*:2]CN1CC[C@H](N(C)S(=O)(=O)c2ccc3ccc(OC)cc3c2)C1=O,[*:1]c1ccc(N)c([*:2])c1
[*:1]N,[*:1]c1ccc(C(=N)N)cc1CN1CC[C@H](N(C)S(=O)(=O)c2ccc3ccc(OC)cc3c2)C1=O,[*:1][H]
